#,Couple,Dance,Song,Date,Series,Week,Order,Craig,Arlene,Darcey,Len,Alesha,Shirley,Guest,Motsi,Bruno,Total,Type
1,Natasha & Brendan,Cha cha cha,Chain Of Fools,"Series 1, Week 01",1,1,1,5,7,-,8,-,-,-,-,7,27,Latin
2,Lesley & Anton,Waltz,He Was Beautiful,"Series 1, Week 01",1,1,2,6,8,-,8,-,-,-,-,7,29,Ballroom
3,Chris & Hanna,Cha cha cha,Lady Marmalade,"Series 1, Week 01",1,1,3,4,4,-,7,-,-,-,-,4,19,Latin
4,Jason & Kylie,Waltz,Three Times A Lady,"Series 1, Week 01",1,1,4,5,5,-,6,-,-,-,-,5,21,Ballroom
5,Verona & Paul,Cha cha cha,R.E.S.P.E.C.T,"Series 1, Week 01",1,1,5,7,6,-,7,-,-,-,-,7,27,Latin
6,Claire & John,Waltz,Unchained Melody,"Series 1, Week 01",1,1,6,7,7,-,8,-,-,-,-,5,27,Ballroom
7,David & Camilla,Cha cha cha,Sex Bomb,"Series 1, Week 01",1,1,7,2,4,-,6,-,-,-,-,4,16,Latin
8,Martin & Erin,Waltz,Come Away With Me,"Series 1, Week 01",1,1,8,5,6,-,7,-,-,-,-,7,25,Ballroom
9,Natasha & Brendan,Quickstep,The Lady Is A Tramp,"Series 1, Week 02",1,2,1,7,8,-,8,-,-,-,-,8,31,Ballroom
10,Martin & Erin,Rumba,Hero,"Series 1, Week 02",1,2,2,3,5,-,7,-,-,-,-,6,21,Latin
11,Chris & Hanna,Quickstep,You're The One That I Want,"Series 1, Week 02",1,2,3,5,6,-,6,-,-,-,-,6,23,Ballroom
12,Claire & John,Rumba,Angels,"Series 1, Week 02",1,2,4,6,6,-,7,-,-,-,-,7,26,Latin
13,Verona & Paul,Quickstep,If My Friends Could See Me Now,"Series 1, Week 02",1,2,5,6,6,-,6,-,-,-,-,6,24,Ballroom
14,Jason & Kylie,Rumba,Leave Right Now,"Series 1, Week 02",1,2,6,2,5,-,7,-,-,-,-,5,19,Latin
15,David & Camilla,Quickstep,Let's Face The Music And Dance,"Series 1, Week 02",1,2,7,3,6,-,6,-,-,-,-,6,21,Ballroom
16,Lesley & Anton,Rumba,You'll Never Find Another Love Like Mine,"Series 1, Week 02",1,2,8,6,7,-,7,-,-,-,-,7,27,Latin
17,Verona & Paul,Jive,Proud Mary,"Series 1, Week 03",1,3,1,6,6,-,6,-,-,-,-,6,24,Latin
18,Lesley & Anton,Tango,Sensation,"Series 1, Week 03",1,3,2,7,8,-,7,-,-,-,-,7,29,Ballroom
19,Martin & Erin,Jive,Great Balls Of Fire,"Series 1, Week 03",1,3,3,5,5,-,5,-,-,-,-,6,21,Latin
20,David & Camilla,Tango,La Cumparsita,"Series 1, Week 03",1,3,4,4,6,-,5,-,-,-,-,5,20,Ballroom
21,Chris & Hanna,Jive,Do You Love Me?,"Series 1, Week 03",1,3,5,5,4,-,5,-,-,-,-,5,19,Latin
22,Claire & John,Tango,Roxanne,"Series 1, Week 03",1,3,6,8,9,-,9,-,-,-,-,8,34,Ballroom
23,Natasha & Brendan,Jive,"Jump, Jive And Wail","Series 1, Week 03",1,3,7,7,7,-,5,-,-,-,-,7,26,Latin
24,Claire & John,Paso doble,Espana Cani,"Series 1, Week 04",1,4,1,8,8,-,7,-,-,-,-,8,31,Latin
